gx,gy,gz,ax,ay,az,tmp
-16,2052,18,-691,18,3920,28.52
-16,2049,22,-684,22,3903,28.54
-11,2074,25,-675,12,3893,28.55
-7,2127,26,-681,17,3883,28.54
-4,2207,27,-684,20,3885,28.54
-4,2284,29,-673,19,3890,28.54
-8,2309,53,-629,24,3935,28.53
-23,2235,100,-587,39,3968,28.54
-48,2045,174,-520,60,4045,28.54
-80,1696,291,-452,62,4095,28.53
-131,1215,440,-382,54,4148,28.52
-194,668,609,-347,55,4203,28.53
-255,19,810,-241,68,4241,28.53
-328,-766,1053,-171,73,4288,28.53
-412,-1634,1322,-134,89,4323,28.54
-500,-2519,1590,-165,92,4332,28.57
-575,-3413,1860,-161,93,4299,28.55
-651,-4299,2115,-173,107,4308,28.54
-718,-5138,2352,-195,116,4263,28.54
-769,-5827,2562,-249,96,4203,28.54
-811,-6397,2741,-244,83,4155,28.53
-829,-6928,2913,-265,72,4113,28.52
-835,-7395,3068,-303,59,4077,28.53
-851,-7791,3204,-266,71,4108,28.52
-855,-8188,3333,-277,91,4053,28.54
-846,-8626,3469,-300,85,4078,28.55
-840,-8892,3539,-311,42,4096,28.53
-858,-9039,3578,-657,20,4309,28.52
-759,-8090,3378,-1688,284,3827,28.55
-617,-6067,3116,-1821,278,3139,28.54
-484,-3925,2785,-1853,223,2915,28.53
-365,-1829,2453,-1808,145,2849,28.53
-254,139,2130,-1706,49,2924,28.52
-161,1836,1821,-1430,-60,3095,28.54
-98,3112,1559,-988,-137,3450,28.54
-61,3717,1362,-577,-159,3811,28.55
-24,3535,1158,125,-257,4808,28.56
-25,2491,885,207,-383,4670,28.54
-64,1474,610,146,-416,4450,28.54
-85,814,461,-106,-172,4113,28.56
-107,513,451,-191,-66,4048,28.53
-119,288,491,-138,-6,4024,28.56
-135,127,549,-212,20,4001,28.54
-141,58,600,-219,29,3993,28.54
-146,33,652,-217,7,3973,28.52
-156,43,700,-147,14,3966,28.55
-163,6,786,-65,17,3994,28.56
-180,-64,887,-15,32,4000,28.54
-194,-163,1006,4,37,4019,28.52
-217,-295,1149,74,43,4084,28.53
-240,-496,1310,114,68,4120,28.53
-269,-722,1482,85,102,4098,28.54
-294,-852,1638,37,142,4068,28.54
-316,-967,1794,15,213,4052,28.53
-307,-864,1908,-218,262,3809,28.56
-289,-371,1990,-493,262,3622,28.54
-264,132,2010,-485,222,3726,28.55
-253,521,1997,-385,133,3901,28.54
-247,445,1998,-181,77,4104,28.54
-264,158,2020,-149,14,4140,28.54
-275,-177,2061,-111,28,4136,28.54
-284,-398,2099,-308,60,3962,28.54
-284,-303,2104,-478,137,3830,28.52
-276,-58,2095,-540,153,3793,28.51
-258,213,2073,-562,121,3810,28.53
-247,405,2015,-465,-4,3906,28.52
-248,280,1954,-188,-99,4116,28.55
-264,-3,1953,-229,-96,4043,28.52
-264,-46,1953,-416,-37,3877,28.54
-254,163,1935,-482,15,3815,28.52
-240,342,1904,-399,11,3909,28.53
-239,324,1900,-216,2,4037,28.54
-253,115,1931,-116,-18,4108,28.55
-263,-72,2001,-171,50,4018,28.52
-272,-79,2076,-292,103,3911,28.54
-273,66,2138,-331,126,3841,28.54
-271,200,2192,-239,83,3910,28.54
-275,234,2235,-155,-15,3999,28.54
-279,136,2282,-132,-52,4009,28.54
-293,69,2330,-85,-18,4037,28.54
-303,-71,2420,-52,19,4028,28.53
-317,-129,2513,-154,68,3950,28.53
-321,-35,2596,-280,80,3860,28.54
-316,149,2658,-331,41,3895,28.55
-318,204,2684,-271,-24,3992,28.55
-326,81,2691,-223,-60,4033,28.52
-331,-68,2711,-272,-37,3991,28.55
-328,-129,2709,-372,-27,3946,28.53
-323,-130,2700,-455,-21,3905,28.55
-320,-25,2673,-523,-4,3859,28.56
-308,144,2652,-562,-16,3836,28.54
-305,294,2636,-523,-39,3877,28.53
-300,476,2641,-574,-53,3852,28.53
-298,531,2652,-431,-82,4002,28.54
-303,342,2680,-327,-76,4079,28.56
-329,111,2773,-332,-12,4040,28.52
-342,3,2906,-412,47,3931,28.56
-352,143,3083,-577,123,3789,28.55
-369,409,3303,-527,175,3872,28.54
-404,308,3536,-255,158,4128,28.53
-435,35,3769,-365,167,4011,28.53
-465,56,4001,-542,175,3896,28.51
-475,151,4193,-647,158,3885,28.53
-485,204,4340,-723,142,3906,28.56
-502,217,4445,-718,102,3931,28.54
-510,158,4535,-678,59,3954,28.53
-519,211,4661,-694,10,3894,28.55
-534,165,4814,-408,88,4047,28.53
-569,-63,5089,-255,128,4043,28.53
-600,-222,5363,-221,149,4061,28.55
-627,-400,5638,-214,144,4042,28.54
-657,-595,5913,-204,163,4077,28.54
-695,-801,6208,-194,169,4090,28.56
-729,-1035,6504,-207,166,4097,28.55
-743,-1291,6793,-224,155,4101,28.52
-770,-1546,7062,-223,149,4116,28.52
-783,-1822,7314,-249,129,4116,28.52
-783,-2133,7532,-279,113,4106,28.54
-765,-2471,7720,-301,84,4108,28.54
-741,-2808,7884,-306,29,4118,28.55
-738,-3110,8038,-288,-23,4111,28.54
-741,-3378,8178,-271,-62,4108,28.55
-738,-3642,8290,-258,-79,4104,28.56
-732,-3894,8383,-237,-105,4091,28.54
-714,-4123,8465,-187,-136,4066,28.54
-670,-4351,8518,-133,-141,4054,28.53
-599,-4606,8547,-133,-136,4046,28.52
-520,-4841,8538,-149,-147,4043,28.52
-446,-5011,8511,-195,-105,4013,28.55
-390,-5058,8468,-245,-51,3941,28.56
-336,-4970,8404,-294,19,3843,28.56
-292,-4687,8344,-353,74,3784,28.54
-260,-4225,8274,-419,60,3696,28.53
-219,-3658,8177,-454,46,3669,28.56
-178,-3107,8056,-381,10,3707,28.56
-133,-2670,7895,-299,-9,3753,28.54
-108,-2316,7715,-225,-13,3779,28.55
-77,-2013,7532,-146,-32,3805,28.52
-53,-1750,7356,-98,-60,3804,28.54
-2,-1501,7180,-65,-67,3826,28.54
33,-1230,6998,-64,-74,3811,28.54
46,-950,6811,-77,-137,3955,28.54
-15,-683,6624,-12,-131,3859,28.55
-8,-461,6445,27,-174,3843,28.55
-16,-187,6267,27,-220,3795,28.55
1,104,6107,39,-283,3834,28.56
-7,368,5965,82,-289,3838,28.55
1,564,5827,148,-247,3890,28.54
0,683,5731,164,-212,3919,28.55
-7,735,5691,207,-152,3957,28.55
-12,738,5603,216,-135,3985,28.54
-30,640,5488,199,-134,4070,28.54
-38,434,5366,193,-84,4043,28.54
-45,309,5287,190,-37,4002,28.54
-47,250,5230,135,-9,3957,28.56
-60,244,5165,108,3,3966,28.57
-50,209,5080,102,-5,3993,28.54
-51,143,4973,35,-33,3990,28.52
-59,76,4830,-6,-41,4002,28.52
-64,-5,4676,-28,-12,3987,28.52
-76,-50,4516,-12,34,3978,28.52
-63,-65,4380,25,61,3949,28.55
-71,1,4266,39,77,3893,28.54
-70,143,4162,53,93,3878,28.52
-60,300,4070,73,90,3884,28.54
-61,485,3978,75,84,3874,28.54
-72,666,3879,97,74,3870,28.54
-69,855,3782,101,70,3864,28.55
-65,1060,3685,110,69,3864,28.55
-59,1246,3578,118,50,3866,28.53
-46,1435,3467,92,17,3846,28.53
-27,1587,3357,150,-8,3911,28.55
-19,1645,3262,190,-4,3948,28.54
-13,1686,3179,94,-29,3902,28.56
-12,1817,3109,53,-40,3887,28.57
-9,1958,3059,33,-43,3897,28.54
-31,2084,3025,18,-13,3939,28.54
-47,2162,2998,-11,-53,3920,28.54
-46,2196,2968,-33,-40,3959,28.52
-56,2175,2940,-56,-50,3974,28.53
-58,2126,2915,-65,-28,4003,28.53
-77,2045,2903,-63,-16,4014,28.53
-82,1944,2901,-78,-24,4035,28.54
-92,1827,2915,-89,-13,4046,28.54
-102,1681,2926,-104,-20,4059,28.53
-115,1506,2928,-127,-27,4060,28.53
-125,1304,2923,-143,-30,4078,28.54
-141,1090,2921,-131,-15,4078,28.55
-161,866,2929,-130,-7,4083,28.54
-194,648,2965,-113,0,4093,28.54
-253,451,3013,-103,5,4106,28.55
-329,280,3071,-90,8,4088,28.54
-377,121,3126,-84,30,4049,28.56
-397,-3,3177,-82,17,4014,28.55
-388,-103,3223,-71,-14,4010,28.54
-350,-310,3245,95,-37,4136,28.56
-316,-798,3228,267,-1,4231,28.54
-279,-1430,3190,380,0,4321,28.56
-265,-2025,3167,215,-62,4154,28.58
-236,-2186,3180,-10,-5,3902,28.53
-201,-2077,3213,-52,22,3832,28.53
-167,-1926,3244,-10,47,3822,28.54
-116,-1765,3267,-31,44,3823,28.54
-77,-1567,3273,-84,57,3826,28.54
-71,-1294,3283,-136,60,3812,28.54
-85,-981,3278,-140,41,3827,28.54
-84,-666,3273,-103,35,3814,28.54
-60,-392,3287,-65,-7,3826,28.55
-35,-163,3311,-49,-30,3825,28.56
-19,41,3364,-27,-19,3871,28.55
-36,193,3445,2,-33,3945,28.55
-68,276,3556,22,-61,3991,28.57
-105,272,3665,61,-71,4045,28.57
-136,105,3746,130,-16,4130,28.54
-149,-272,3799,242,-9,4220,28.57
-164,-846,3840,351,-56,4303,28.52
-180,-1484,3884,344,-102,4272,28.56
-189,-1947,3952,222,-113,4118,28.55
-171,-2151,4025,81,-49,4021,28.54
-156,-2206,4092,8,-12,3970,28.54
-166,-2238,4118,-10,-31,4020,28.54
-170,-2305,4099,-49,-56,3976,28.54
-152,-2334,4055,-10,-82,3939,28.52
-114,-2291,4029,-46,-75,3858,28.54
-78,-2139,4005,-7,-121,3825,28.54
-17,-1958,3989,-17,-175,3787,28.57
43,-1678,3960,-114,-190,3739,28.54
105,-1333,3926,-176,-210,3759,28.55
141,-909,3874,-266,-177,3718,28.53
159,-394,3828,-301,-130,3757,28.54
55,55,3776,-104,-79,3827,28.52
33,216,3726,66,-47,3996,28.54
16,215,3668,88,-75,3975,28.55
9,175,3631,154,-29,4017,28.54
16,100,3612,203,-22,3996,28.54
6,24,3626,239,-10,3994,28.55
4,-46,3662,250,-7,3984,28.53
0,-131,3691,206,-41,4003,28.54
-9,-296,3704,187,-84,4050,28.55
-7,-462,3693,162,-84,4060,28.55
-21,-581,3656,13,-83,3964,28.57
1,-612,3605,134,6,3966,28.55
16,-692,3586,154,-5,3980,28.53
5,-699,3598,133,13,3968,28.53
13,-669,3601,60,-43,3944,28.54
7,-633,3572,52,-74,3976,28.54
