gx,gy,gz,ax,ay,az,tmp
-84,76,-13,-329,-9,3947,28.88
-89,79,-14,-318,-14,3953,28.89
-84,76,-20,-324,-11,3964,28.90
-87,80,-16,-336,-10,3948,28.92
-88,79,-20,-328,-18,3938,28.92
-82,72,-16,-331,-17,3936,28.92
-87,80,-17,-329,-10,3946,28.93
-88,84,-15,-334,-6,3948,28.93
-89,82,-15,-325,-5,3954,28.94
-90,79,-14,-322,-2,3942,28.92
-92,82,-17,-323,-2,3946,28.91
-95,71,-18,-323,-9,3932,28.90
-88,76,-12,-330,-12,3949,28.92
-87,80,-13,-324,-5,3951,28.91
-89,72,-13,-329,-11,3959,28.91
-88,74,-15,-331,-2,3957,28.92
-87,74,-14,-326,-3,3956,28.92
-96,81,-11,-324,-7,3945,28.92
-89,77,-10,-333,-8,3964,28.93
-89,81,-13,-324,-8,3957,28.93
-83,81,-12,-324,-4,3952,28.92
-87,73,-14,-318,-7,3947,28.92
-81,79,-11,-322,-7,3938,28.92
-92,76,-18,-329,-13,3938,28.92
-88,80,-15,-324,-10,3939,28.96
-86,77,-14,-324,-10,3950,28.94
-82,83,-16,-321,-5,3950,28.93
-84,77,-12,-338,-10,3962,28.92
-81,78,-17,-324,-21,3945,28.89
-87,74,-12,-325,-13,3935,28.92
-88,72,-16,-318,-5,3935,28.94
-88,74,-17,-330,9,3956,28.93
-88,73,-20,-332,-2,3965,28.92
-80,82,-14,-328,0,3950,28.91
